Year	CAPRP	LCRP
1998		
1999	1.4	0.3
2000	1.3	-1.4
2001	-0.3	-3.4
2002	1.4	6.5
2003	1.6	-2.3
2004	1.8	-0.7
2005	2.2	0.5
2006	3.0	-3.4
2007	2.3	-0.7
2008	1.9	0.3
2009	4.3	3.8
2010	-2.8	-1.3
2011	-2.2	-2.9
2012	1.1	-5.5
