Year	CAPNI	LCNI	LPNI
1999		88.0	102.2
2000		88.6	105.9
2001		91.1	108.8
2002		94.2	110.9
2003		98.0	112.6
2004		100.0	116.8
2005	100	102.4	119.3
2006	103	104.4	121.6
2007	105	106.1	125.0
2008	109	110.9	126.4
2009	112	115.3	124.0
2010	115	115.0	127.5
2011	117	116.1	129.3
2012	118	118.5	128.7
