Year	CAPNP
1999	2.5
2000	2.4
2001	2.4
2002	2.4
2003	2.3
2004	2.5
2005	2.5
2006	2.5
2007	2.8
2008	2.5
2009	2.4
2010	1.15
2011	1.65
2012	1.26
2013	1.24
