Year	CAPNP	LCNP
1999	3.7	
2000	3.5	2.5
2001	3.5	3.1
2002	3.2	1.5
2003	3.5	1.8
2004	3	2.0
2005	3.5	1.9
2006	3	2.9
2007	4	2.2
2008	4	3.3
2009	3	5.3
2010	1.8	1.2
2011	4.75	1.5
2012	4	3.8
2013		
