Year	LPNP
1998	
1999	
2000	3.4
2001	4.6
2002	4.6
2003	4.0
2004	3.7
2005	3.8
2006	4.2
2007	3.7
2008	3.4
2009	3.1
2010	2.6
2011	3.0
2012	3.1
2013	
