Year	CAPRI	LCRI	LPRI
1998	100		
1999	101	100.3	103.1
2000	103	98.9	107.2
2001	102	95.6	111.5
2002	104	101.8	112.8
2003	105	99.4	118.1
2004	107	98.7	120.4
2005	110	99.2	119.5
2006	113	95.8	123.8
2007	116	95.1	126.3
2008	118	95.4	124.5
2009	123	99.1	121.4
2010	119	97.8	118.4
2011	117	95.0	116.6
2012	118	89.8	119.5
