Year	CAPNP
1999	7.1
2000	4.7
2001	5.5
2002	
2003	3.6
2004	3.6
2005	4.6
2006	4.5
2007	5
2008	6
2009	
2010	3.1
2011	2.9
2012	2.7
2013	
