Year	CAPRI	LCRI	LPRI
1998	100		
1999	100	99.3	100.2
2000	101	98.7	100.1
2001	102	97.8	100.5
2002	102	96.6	100.8
2003	102	95.3	100.7
2004	103	93.8	100.3
2005	104	92.9	99.8
2006	104	92.0	99.9
2007	105	92.8	100.3
2008	105	95.7	101.3
2009	107	96.9	104.3
2010	107	94.6	106.7
2011	107	92.3	108.8
2012	106	89.1	112.0
2013			
