Year	CAPNP	CPENP
1999	2.5	
2000	1.5	2.2
2001	2.3	1.2
2002	0.8	1.9
2003	2.1	1.6
2004	1.9	1.5
2005	2.3	2.4
2006	2.7	3.0
2007	2.4	3.1
2008	2.7	4.1
2009	3.6	0.0
2010	0.9	2.1
2011	0.85	1.9
2012	2.56	3.0
2013	0	
