Year	CAPNP
1999	1.99
2000	2.37
2001	2.12
2002	2.33
2003	2.27
2004	2.18
2005	3.74
2006	2.74
2007	2.43
2008	2.39
2009	2.96
2010	0.68
2011	0.42
2012	0.17
2013	
