Year	CAPNP	LPNP
1998		
1999	2.5	
2000	5.5	11.6
2001	7.5	7.9
2002	4	9.5
2003	5	5.6
2004	3.5	3.2
2005	4	3.5
2006	5	4.2
2007	5	1.7
2008	6	-4.6
2009		-2.2
2010		1.1
2011		3.4
2012		3.5
