Year	CAPNI	LCNI
1998	100	
1999	104	103.4
2000	108	105.3
2001	111	105.0
2002	117	115.6
2003	123	117.4
2004	130	120.0
2005	137	123.9
2006	146	122.6
2007	154	125.7
2008	163	132.1
2009	173	140.3
2010	176	140.1
2011	177	137.6
2012	181	128.6
