Year	CAPNP
1999	2.4
2000	3.7
2001	3.7
2002	2.2
2003	2.1
2004	2.1
2005	2.5
2006	3.1
2007	2.6
2008	3.6
2009	3.9
2010	1.5
2011	2.5
2012	4.4
2013	3.4
