Year	CAPNP
1998	
1999	46.2
2000	56.4
2001	53.8
2002	54.6
2003	41.5
2004	12
2005	17.9
2006	9.1
2007	22.2
2008	15.2
2009	18.3
2010	0
2011	11.7
2012	4.5
