Year	CAPNP	CPENP
1999	2.53	
2000	2.85	2.8
2001	3.87	3.6
2002	4.88	3.4
2003	3.47	2.6
2004	3.68	2.1
2005	4.02	2.8
2006	3.22	3.2
2007	4.79	4.6
2008	2.63	6.7
2009	2.08	4.3
2010	2.11	0.2
2011	1.74	0.5
2012	0.70	-0.5
2013		
