Year	CAPNI	LPNI
1998	100	
1999	102	101.2
2000	106	103.8
2001	110	106.3
2002	100	109.1
2003	103	112.1
2004	106	116.7
2005	110	120.3
2006	113	124.6
2007	117	129.0
2008	121	131.5
2009	124	130.0
2010	126	133.6
2011	129	137.0
2012	132	139.5
2013		
