Year	CAPRP
1998	
1999	1.9
2000	1.4
2001	0.2
2002	0.5
2003	-0.1
2004	0.8
2005	1.2
2006	0.7
2007	0.9
2008	0.0
2009	0.9
2010	-0.1
2011	0.2
2012	1.6
2013	
