Year	LPNP
1998	
1999	
2000	3.4
2001	1.5
2002	4.0
2003	4.7
2004	5.3
2005	3.8
2006	4.6
2007	3.8
2008	1.6
2009	-0.7
2010	6.4
2011	2.5
2012	0.9
2013	
