Year	LPNP
1999	
2000	3.6
2001	2.0
2002	3.1
2003	1.4
2004	3.7
2005	3.3
2006	3.9
2007	3.9
2008	-1.2
2009	3.1
2010	0.5
2011	3.2
2012	1.9
2013	
