Year	CAPRP	LPRP	CPERP
1998			
1999	1.4	3.1	4.3
2000	1.3	4.0	3.0
2001	-0.3	4.1	0.0
2002	1.4	1.2	7.2
2003	1.6	4.7	2.7
2004	1.8	1.9	1.1
2005	2.2	-0.7	-0.9
2006	3.0	3.5	-0.9
2007	2.3	2.1	1.7
2008	1.9	-1.4	-0.6
2009	4.3	-2.5	2.2
2010	-2.8	-2.4	-6.9
2011	-2.2	-1.6	-6.3
2012	1.1	2.5	-5.2
