Year	LPNP
1999	-29.6
2000	5.9
2001	5.0
2002	3.4
2003	3.0
2004	3.9
2005	4.0
2006	3.5
2007	3.2
2008	2.5
2009	-2.9
2010	3.1
2011	1.5
2012	-0.1
