Year	CAPRP	LCRP	LPRP	CPERP
1999	1.7			
2000	-0.2	-1.4	2.7	0.2
2001	-1.0	-0.8	0.1	-2.7
2002	3.5	-1.1	1.8	3.6
2003	-0.9	0.3	0.2	-1.3
2004	0.0	-2.1	2.0	-0.4
2005	-0.1	-0.8	1.2	0.3
2006	1.0	-0.8	1.9	1.3
2007	0.2	-0.8	1.9	0.8
2008	-0.5	5.3	-0.5	0.4
2009	4.1	-3.1	-3.1	0.4
2010	-0.6	1.6	1.2	0.0
2011	-1.2	-1.3	1.0	-1.6
2012	1.0	1.1	-0.3	0.4
2013				
