Year	LPNP
1999	
2000	3.7
2001	3.7
2002	4.0
2003	5.4
2004	4.5
2005	4.2
2006	4.6
2007	5.2
2008	1.3
2009	-1.1
2010	4.4
2011	2.8
2012	0.5
