Year	CAPNP
1999	1.8
2000	2.8
2001	3.4
2002	2.5
2003	3.1
2004	2.3
2005	2.5
2006	1.9
2007	2.4
2008	4.4
2009	3.2
2010	3
2011	3
2012	3.4
2013	
