Year	LCRI
1998	
1999	100.3
2000	98.9
2001	95.6
2002	101.8
2003	99.4
2004	98.7
2005	99.2
2006	95.8
2007	95.1
2008	95.4
2009	99.1
2010	97.8
2011	95.0
2012	89.8
