Year	LPNP
1998	
1999	
2000	0.6
2001	2.4
2002	2.0
2003	1.6
2004	1.9
2005	1.5
2006	3.5
2007	3.2
2008	0.6
2009	-4.1
2010	4.5
2011	2.4
2012	0.9
