Year	CAPNP
1999	5.5
2000	5
2001	3.1
2002	5.8
2003	4.5
2004	5.9
2005	6.5
2006	6
2007	6
2008	5.5
2009	6.7
2010	6.1
2011	1.6
2012	1.6
