Year	CAPNP	CPENP
1998		
1999	8.2	
2000	5.1	7.9
2001	5.2	8.4
2002	5.2	7.8
2003	4.1	7.9
2004	3.8	8.2
2005	3.9	3.8
2006	3.9	6.0
2007	4.2	6.3
2008	5.4	4.2
2009	4.4	-0.6
2010	3.1	3.6
2011	2.9	2.7
2012	2.8	1.8
2013		
