Year	CAPNI	LCNI
1999		99.8
2000		99.3
2001		100.4
2002		100.5
2003		101.9
2004		101.4
2005		102.7
2006		103.8
2007		105.0
2008		109.9
2009		113.3
2010		114.3
2011		115.3
2012		119.2
2013		
