Year	CAPNP	LPNP
1999	3.2	-18.7
2000	1.9	0.6
2001	1.8	2.4
2002	2	2.0
2003	3.1	1.6
2004	1.8	1.9
2005	0.9	1.5
2006	0.4	3.5
2007	0.7	3.2
2008	4.4	0.6
2009	3.9	-4.1
2010	0.8	4.5
2011	1.9	2.4
2012	2.2	0.9
2013	2.6	
