Year	CAPNI	LCNI	LPNI
1999		98.8	103.4
2000		104.0	106.9
2001		109.3	108.6
2002		109.8	112.9
2003		110.1	118.3
2004		109.1	124.6
2005		109.3	129.3
2006		108.8	135.2
2007		113.3	140.3
2008		116.8	142.5
2009		122.0	141.5
2010		119.2	150.7
2011		118.5	154.4
2012		121.6	155.7
2013			
