Year	LCNI	LPNI
1999	101.9	102.8
2000	104.8	106.3
2001	108.1	111.2
2002	111.5	116.3
2003	114.6	121.0
2004	117.4	125.5
2005	121.3	130.2
2006	125.1	135.8
2007	130.3	140.8
2008	137.6	145.6
2009	139.4	150.1
2010	136.7	154.1
2011	134.7	158.6
2012	130.1	163.5
2013		
