Year	CAPNP
1998	
1999	1.7
2000	2.6
2001	3.1
2002	4.0
2003	2.0
2004	2.3
2005	2.4
2006	2.3
2007	1.9
2008	3.1
2009	3.1
2010	0.7
2011	2.4
2012	3.0
2013	1.94
