Year	CAPNP
1999	0.00
2000	3.70
2001	3.40
2002	0.00
2003	7.18
2004	0.00
2005	0.00
2006	0.00
2007	0.00
2008	22.42
2009	2.12
2010	0.00
2011	3.42
2012	3.40
2013	
