Year	CAPNP
1999	3.2
2000	1.9
2001	1.8
2002	2
2003	3.1
2004	1.8
2005	0.9
2006	0.4
2007	0.4
2008	4.7
2009	3.8
2010	0.4
2011	1.6
2012	2.4
