Year	CAPRI	LPRI
1998	100	
1999	101	102.1
2000	100	103.8
2001	101	103.2
2002	103	104.8
2003	104	105.7
2004	104	108.0
2005	104	108.4
2006	104	110.1
2007	104	111.4
2008	103	110.5
2009	106	107.6
2010	104	109.5
2011	104	109.9
2012	104	109.5
2013		
