Year	CAPRP
2000	
1999	
2001	-5.8
2002	7.4
2003	11.0
2004	11.7
2005	10.0
2006	5.5
2007	5.9
2008	6.6
2009	4.3
2010	-5.7
2011	5.6
2012	-3.3
2013	
