Year	CAPNP
1999	28.3
2000	68.8
2001	89.3
2002	26.9
2003	47.8
2004	12
2005	10.7
2006	6.5
2007	18.2
2008	30.8
2009	17.6
2010	0
2011	11.7
2012	4.5
2013	10.7
