Year	CAPNP	LCNP
1999	2.5	-19.5
2000	5.5	1.6
2001	7.5	5.6
2002	4	1.3
2003	0	4.4
2004	7	4.2
2005	4	4.6
2006	3	3.6
2007	2	4.0
2008	5	6.4
2009	3.5	-3.8
2010	2.5	-6.4
2011	"No agreement"	-3.3
2012	"No agreement"	0.7
