Year	CAPNP	LCNP
1999		
2000		1.4
2001		2.4
2002	2	3.1
2003	0	2.0
2004	0	1.0
2005	8.7	1.9
2006	1.2	1.8
2007	0	1.7
2008	12.2	3.2
2009	3.6	3.7
2010	0	0.6
2011	3.8	1.6
2012	0	1.5
2013		
