Year	LPNP
1998	
1999	
2000	3.6
2001	1.5
2002	3.5
2003	2.9
2004	4.4
2005	2.7
2006	3.9
2007	3.6
2008	1.3
2009	-1.4
2010	3.8
2011	2.4
2012	1.7
2013	
