Year	CAPNP	LCNP
1999		-82.8
2000		64.9
2001	30.75	45.1
2002	29.8	-0.2
2003	16.85	21.0
2004	13	3.1
2005	9.5	22.0
2006	9.5	4.9
2007	6.35	15.2
2008	7.28	22.9
2009	4.4	2.9
2010	5.96	-1.9
2011	5.86	0.6
2012	2.78	6.3
