Year	CAPNI	LCNI	LPNI
1999		102.2	103.4
2000		102.7	109.7
2001		107.2	112.2
2002		110.7	115.3
2003		113.2	118.9
2004		113.7	125.3
2005		116.2	130.7
2006		118.7	135.2
2007		124.4	136.7
2008		132.0	139.0
2009		140.1	135.2
2010		138.7	146.3
2011		139.3	149.4
2012		139.5	152.5
2013			
