Year	CAPNP	LCNP
1999	1.7	
2000	4.0	0.4
2001	2.4	4.2
2002	5.2	2.3
2003	2.8	1.0
2004	2.6	-0.6
2005	2.7	1.4
2006	2.9	2.0
2007	2.3	2.2
2008	1.7	4.4
2009	5.0	3.9
2010	0.9	-0.4
2011	1.4	2.7
2012	3.0	3.7
2013	2.7	
