Year	CAPNP	CPENP
1999		-90.8
2000		70.1
2001	30.75	55.0
2002	29.8	16.7
2003	16.85	27.4
2004	13	13.8
2005	9.5	29.1
2006	9.5	12.4
2007	6.35	22.0
2008	7.28	31.9
2009	4.4	-1.9
2010	5.96	-3.3
2011	5.86	4.2
2012	2.78	5.2
