Year	LPNP
1998	
1999	25.3
2000	4.8
2001	-2.8
2002	2.9
2003	5.8
2004	4.0
2005	7.2
2006	8.2
2007	5.8
2008	-5.1
2009	-4.6
2010	8.8
2011	3.8
2012	1.9
