Year	CAPRP
1998	
1999	2.3
2000	1.0
2001	0.2
2002	1.3
2003	1.5
2004	0.2
2005	-0.3
2006	-0.3
2007	-0.1
2008	0.1
2009	2.4
2010	0.6
2011	-0.5
2012	0.6
2013	1.1
