Year	CAPNP
1999	1.7
2000	4.0
2001	2.4
2002	5.2
2003	2.8
2004	2.6
2005	2.7
2006	2.9
2007	2.3
2008	1.7
2009	5.0
2010	0.9
2011	1.4
2012	3.0
2013	2.7
