Year	CAPNI	LCNI	LPNI
1999		103.4	106.2
2000		105.3	114.2
2001		105.0	122.5
2002		115.6	128.2
2003		117.4	139.5
2004		120.0	146.3
2005		123.9	149.4
2006		122.6	158.4
2007		125.7	167.0
2008		132.1	172.4
2009		140.3	171.9
2010		140.1	169.6
2011		137.6	168.7
2012		128.6	171.0
