Year	CAPNP
1999	11.1
2000	6.9
2001	14.6
2002	9.8
2003	8.5
2004	7.2
2005	5.5
2006	5.1
2007	4.9
2008	4.1
2009	4.5
2010	4.2
2011	
2012	
2013	
