Year	CAPNP
1998	
1999	1.8
2000	2.9
2001	3.3
2002	2.2
2003	2.9
2004	2.4
2005	2.5
2006	1.7
2007	2.1
2008	4.3
2009	3.6
2010	2
2011	2.4
2012	1.9
2013	
