Year	CAPNP	LCNP
1998		
1999	2.5	
2000	5.5	1.6
2001	7.5	5.6
2002	4	1.3
2003	5	4.4
2004	3.5	4.2
2005	4	4.6
2006	5	3.6
2007	5	4.0
2008	6	6.4
2009		-3.8
2010		-6.4
2011		-3.3
2012		0.7
