Year	CAPRI	LCRI
1998	100	
1999	101	100.3
2000	103	98.9
2001	102	95.6
2002	104	101.8
2003	105	99.4
2004	107	98.7
2005	110	99.2
2006	113	95.8
2007	116	95.1
2008	118	95.4
2009	123	99.1
2010	119	97.8
2011	117	95.0
2012	118	89.8
