Year	LCNP
1999	-8.6
2000	0.5
2001	0.4
2002	0.7
2003	0.9
2004	-0.5
2005	-0.9
2006	-2.0
2007	-0.8
2008	2.3
2009	5.6
2010	-1.1
2011	1.4
2012	2.7
