Year	CAPRP
1999	1.9
2000	1.2
2001	-0.7
2002	0.1
2003	-0.7
2004	0.5
2005	0.8
2006	0.1
2007	0.0
2008	-1.5
2009	-0.3
2010	0.8
2011	-0.1
2012	0.4
2013	
