Year	CAPNI	LCNI	LPNI
1999		102.2	106.6
2000		104.9	113.5
2001		110.0	122.8
2002		116.9	127.9
2003		120.5	135.0
2004		124.0	147.6
2005		123.1	153.8
2006		123.6	163.3
2007		126.8	174.7
2008		131.2	179.4
2009		134.0	178.4
2010		134.1	182.2
2011		135.5	183.8
2012		140.3	183.1
2013			
