Year	CAPNP	CPENP
1998		
1999	3.53	6.5
2000	4.2	6.0
2001	3.3	3.7
2002	5.34	11.4
2003	5.14	6.3
2004	4.93	4.2
2005	5.78	2.6
2006	6.44	2.4
2007	5.38	4.7
2008	6.2	3.6
2009	5.71	3.5
2010	1.76	-2.6
2011	0.8	-3.4
2012	2.1	-4.2
