Year	LCNP	LPNP
1999		
2000	4.4	5.1
2001	3.9	3.7
2002	3.2	3.9
2003	3.8	2.7
2004	1.0	4.2
2005	3.6	3.7
2006	0.9	3.7
2007	1.1	5.3
2008	3.5	1.1
2009	3.1	0.6
2010	-0.9	4.2
2011	-0.5	0.5
2012	-4.0	1.0
		
