Year	LCNP	LPNP
1999	-19.5	-37.2
2000	1.6	11.6
2001	5.6	7.9
2002	1.3	9.5
2003	4.4	5.6
2004	4.2	3.2
2005	4.6	3.5
2006	3.6	4.2
2007	4.0	1.7
2008	6.4	-4.6
2009	-3.8	-2.2
2010	-6.4	1.1
2011	-3.3	3.4
2012	0.7	3.5
