Year	CAPNI	LCNI
1999		100.6
2000		101.1
2001		101.5
2002		102.2
2003		103.1
2004		102.6
2005		101.7
2006		99.6
2007		98.9
2008		101.1
2009		106.8
2010		105.6
2011		107.0
2012		110.0
