Year	CAPNP	LCNP
1999		-25.7
2000		0.6
2001		2.8
2002		3.4
2003		4.1
2004		2.0
2005		2.4
2006	1.6	2.0
2007	2.3	1.6
2008	2.1	4.5
2009	3.9	4.0
2010	3.2	-0.3
2011	2.0	1.0
2012	1.7	2.1
