Year	CAPRP	CPERP
1998		
1999	2.3	
2000	1.0	0.4
2001	0.2	-0.2
2002	1.3	0.0
2003	1.5	0.4
2004	0.2	-1.4
2005	-0.3	-2.0
2006	-0.3	-0.7
2007	-0.1	-1.5
2008	0.1	-0.6
2009	2.4	-0.1
2010	0.6	1.2
2011	-0.5	0.5
2012	0.6	0.3
