Year	CAPRI	LCRI
1998	100	
1999	101	101.1
2000	100	99.5
2001	101	101.7
2002	103	102.0
2003	104	101.0
2004	104	98.3
2005	104	97.4
2006	104	97.0
2007	104	96.8
2008	103	98.9
2009	106	101.6
2010	104	99.2
2011	104	99.8
2012	104	101.4
2013		
