Year	CAPNP
1999	2.69
2000	3.06
2001	2.51
2002	3.16
2003	2.66
2004	2.94
2005	3.65
2006	2.98
2007	3.8
2008	2.63
2009	2
2010	2.95
2011	0.08
2012	0.02
2013	
